country,Year,K mineral fertilization (ktK),N mineral fertilization (ktN),P mineral fertilization (ktP),N supply (kg/cap/y),N supply (kt/y),Population (Mhab),All Animals Amount excreted in manure (ktN),All Animals Losses from manure treated (ktN),All Animals Manure applied to soils (ktN),All Animals Manure left on pasture (ktN),All Animals Manure management (treated) (ktN),non ruminants Amount excreted in manure (ktN),non ruminants Losses from manure treated (ktN),non ruminants Manure applied to soils (ktN),non ruminants Manure left on pasture (ktN),non ruminants Manure management (treated) (ktN),ruminants Amount excreted in manure (ktN),ruminants Losses from manure treated (ktN),ruminants Manure applied to soils (ktN),ruminants Manure left on pasture (ktN),ruminants Manure management (treated) (ktN),N croplands Input (ktN),N croplands Atmospheric Deposition (ktN),N croplands Biological Fixation (ktN),N croplands Manure applied to Soils (ktN),N croplands Mineral fertilizers (ktN)
World,1971,14368.371444893617,33582.65315,9790.350656056336,3.750448,13953.932318150239,3720.6041299999997,85225.26467517222,7483.749709311493,21290.240132201307,55127.53659816232,28126.801614632943,12539.87327115406,1461.514910185384,6292.079810235324,4879.1501962130715,7665.3179061511055,72685.39140401817,6022.234799126108,14998.160321965977,50248.38640194923,20461.483708481846,73307.3654402,8767.6735751,12769.534809499999,19502.291975,30120.2353105
World,1972,15296.89670489362,36075.507119999995,10452.135425070423,3.7335119999999997,14170.98923326848,3795.61904,86352.27581174139,7619.5056859142205,21775.762887671273,55615.47339987627,28735.148100614264,12893.919760069773,1515.5144415494601,6576.418924939053,4899.0380978429885,7999.399929800785,73458.35605167164,6103.991244364761,15199.343962732224,50716.435302033264,20735.748170813484,76421.1579298,8974.0844744,12742.0250116,19965.8356479,32575.297171500002
World,1973,16806.249147446808,38955.588990000004,11296.520079154929,3.773808,14607.526489309439,3870.76568,87047.63597239688,7717.39993708945,22188.827448959946,55822.12785717979,29233.6752093073,13100.337726400974,1517.738071827733,6761.482235126872,4917.210093643203,8187.329767980567,73947.29824599592,6199.661865261716,15427.34521383307,50904.91776353658,21046.34544132674,80792.7519234,9206.8672022,13863.4223587,20322.6494656,35205.1596621
World,1974,16399.06992957447,38585.337289999996,10564.593090281689,3.7597919999999996,14834.555570011678,3945.57879,88984.72181044424,7873.758683209381,22669.99313902008,57108.89850586019,29852.8658127713,13311.280405387028,1551.129932912961,6887.908431330943,4972.287042139014,8343.115443246563,75673.44140505722,6322.62875029642,15782.084707689139,52136.61146372117,21509.75036952473,80770.3899245,9312.4582165,13728.0399383,20742.9018718,34802.645083300005
World,1975,17510.94079468085,43878.43904999999,11076.229241408451,3.7930800000000002,15247.3515223728,4019.78116,90504.17762443218,7926.215062811988,22929.554845396044,58306.915369990646,30156.293892307163,13394.708808239833,1540.529136501687,6928.821360652987,5027.432767306699,8371.60899837742,77109.46881619233,6385.6859263103015,16000.733484743054,53279.48260268395,21784.684893929745,86779.42388660001,9564.8887174,14368.7780193,20995.0213538,39579.0555831
World,1976,18761.08406042553,45187.999520000005,11903.183420704225,3.7749759999999997,15451.53448295424,4093.1477400000003,91077.38146204033,7836.490175944391,22923.603031580966,58932.68721017248,30069.3429002761,13312.227755566957,1463.448328860215,6891.0469818522615,5050.382926883689,8266.08021648542,77765.15370647337,6373.041847084177,16032.556049728712,53882.30428328878,21803.26268379068,88735.1984801,9843.0052441,14163.5956415,21005.3063695,41440.0550985
World,1977,19133.839189787235,49272.46121,12589.408895352111,3.7989199999999994,15825.828780168396,4165.87577,91490.87685885497,7890.4978480319405,23161.43522411484,59032.55969247624,30356.13799023774,13624.312121758954,1545.2059791885151,7148.278514700223,5028.957478287516,8599.53605250351,77866.56473709599,6345.2918688434265,16013.156709414608,54003.60221418872,21756.601937734227,94016.5696512,10164.4903465,15162.6385858,21235.151424699998,45137.414574
World,1978,20084.613792127657,54028.24587,13087.657303521126,3.8859360000000005,16471.109919389284,4238.64673,92278.9502059922,7974.498789214613,23548.559008513213,59314.07589823572,30814.624280402328,14012.14342361304,1621.2564981037099,7422.307831812873,5072.643266978475,8943.52221906061,78266.80678237916,6353.2422911109015,16126.251176700349,54241.43263125725,21871.102061341728,99287.7288282,10511.083727700001,15631.8101329,21599.785211,49226.2847738
World,1979,19972.6136087234,57018.07652,13673.725786338027,3.8882719999999993,16767.968204713758,4312.44733,93442.97957506272,8055.582116337717,24006.390259670545,59893.83483114385,31345.845572234004,14426.3284506546,1683.710588097372,7732.920074637435,5116.94169718425,9313.361132729311,79016.65112440812,6371.8715282403455,16273.470185033108,54776.89313395962,22032.484439504686,103601.9985199,10748.497346799999,16210.6115758,22027.8904483,52273.763793399994
World,1980,20095.55688510638,60629.73109,13867.880083098591,3.8970320000000003,17100.147655903842,4387.99262,94945.73003560818,8158.854362917755,24363.496729533104,60945.23598319152,31802.416387203786,14746.092612708517,1748.861224864258,7960.707497739732,5144.906604080576,9604.670200340755,80199.6374228997,6409.993138053496,16402.789231793366,55800.329379110946,22197.746186863027,107320.96489450001,11149.4720113,15929.529471999998,22355.3141355,55546.5097277
